point_id,real_lat,real_lon,gps_lat,gps_lon,rtk_lat,rtk_lon,gps_error_m,rtk_error_cm
1,32.1121,118.6423,32.11212941,118.6422284,32.11210005,118.6423,8.65,4.61
2,32.1121,118.642321,32.11213642,118.6422538,32.11210081,118.6423219,8.54,5
3,32.1121,118.642343,32.11217635,118.6423342,32.11209937,118.6423428,8.54,3.5
4,32.1121,118.6423642,32.11220825,118.6423312,32.11210152,118.6423646,12.54,1.41
5,32.1121,118.6423857,32.11208042,118.6423175,32.11209761,118.6423863,7.97,1.98
6,32.1121,118.6424072,32.11210172,118.6422886,32.11210053,118.6424075,11.28,4.36
7,32.1121,118.6424287,32.11215573,118.6423564,32.11209963,118.6424288,8.53,3.06
8,32.1121,118.6424501,32.11218721,118.642298,32.11210271,118.6424503,15.44,3.29
9,32.1121,118.6424716,32.11209756,118.6422447,32.11209885,118.6424717,12.22,3.69
10,32.1121,118.6424931,32.11205645,118.6421984,32.11210152,118.6424932,15.53,5.7
11,32.1121,118.6425146,32.11202279,118.6422675,32.11209971,118.6425147,15.36,5.39
12,32.1121,118.6425361,32.11208689,118.6423118,32.11210254,118.6425362,11.74,5.76
13,32.1121,118.6425575,32.11213378,118.6423785,32.11210079,118.6425576,13.14,4.39
14,32.1121,118.642579,32.11216535,118.6424012,32.11210364,118.6425791,15.77,5.45
15,32.1121,118.6426005,32.1120892,118.6423558,32.11209963,118.6426006,9.95,4.14
16,32.1121,118.642622,32.11204521,118.6422887,32.11210276,118.642622,13.94,7.28
17,32.1121,118.6426435,32.11201171,118.6422339,32.11210053,118.6426435,17.26,7.09
18,32.1121,118.6426649,32.1120782,118.6421976,32.11210341,118.642665,17.63,4.11
19,32.1121,118.6426864,32.11213412,118.6421561,32.11210192,118.6426865,20.27,2.56
20,32.1121,118.6427079,32.11208709,118.6420893,32.11210481,118.642708,24.52,3.62
21,32.1121,118.6427294,32.11204218,118.6421246,32.1120991,118.6427294,20.14,5.32
22,32.1121,118.6427509,32.11200971,118.6421958,32.11210062,118.6427509,17.56,6.36
